record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target
5665,MH011,11.5,71.04,FLD05665,5644,Apple,Fruit,Year-round,Arid,202,29,180,7.0,0.72,Sandy Clay,26,17.0,403,370,115,253,334,30.7,30.7,53,4.8,1.04,0.69,0.73,0.01,0.67,0.64,0.67,0.73,0.71,0.72,0.57,0.56,0.22,0.25,167,Grain filling,Drip,Apple,8416,0,Kharif
5666,HR042,29.25,86.81,FLD05666,7247,Apple,Fruit,Year-round,Sub-Humid,215,42,240,7.8,0.57,Laterite,35,12.0,1064,350,190,276,313,22.5,22.5,68,3.8,1.04,0.69,0.73,0.02,0.62,0.66,0.67,0.73,0.71,0.72,0.54,0.56,0.32,0.24,328,Grand growth,Surface,Apple,11393,0,Rabi
5667,GJ041,25.07,72.38,FLD05667,6892,Apple,Fruit,Year-round,Arid,302,43,232,7.5,0.66,Clay Loam,32,19.1,481,165,81,133,152,26.6,26.6,57,3.9,1.04,0.68,0.72,0.014,0.65,0.62,0.66,0.72,0.69,0.72,0.56,0.53,0.3,0.33,306,Boll formation,Drip,Apple,13077,0,Rabi
5668,MH028,11.09,76.29,FLD05668,11079,Apple,Fruit,Year-round,Coastal,312,52,230,7.2,0.97,Sandy Clay,36,8.6,1220,983,432,638,882,30.9,30.9,80,5.0,1.04,0.69,0.74,0.022,0.63,0.66,0.67,0.71,0.7,0.74,0.52,0.55,0.3,0.25,154,Pod formation,Sprinkler,Apple,17988,0,Kharif
5669,RJ003,17.6,76.15,FLD05669,10965,Apple,Fruit,Year-round,Coastal,256,47,230,5.9,0.56,Loam,32,11.0,1751,390,145,338,341,23.2,23.2,77,3.4,1.04,0.67,0.71,0.018,0.62,0.65,0.64,0.7,0.7,0.71,0.51,0.56,0.27,0.24,307,Flush,Surface,Apple,16482,0,Rabi
5670,KA001,20.18,85.64,FLD05670,17295,Apple,Fruit,Year-round,Humid,237,46,202,6.2,0.52,Clay,36,5.8,1797,664,315,468,605,20.8,20.8,80,3.1,1.04,0.67,0.75,0.028,0.61,0.64,0.66,0.7,0.69,0.75,0.5,0.54,0.27,0.31,321,Tillering,Surface,Apple,26488,0,Rabi
5671,KA043,28.14,72.64,FLD05671,9140,Apple,Fruit,Year-round,Humid,254,48,188,6.1,0.77,Laterite,28,5.6,2674,2114,818,1291,1879,28.7,28.7,85,4.8,1.04,0.69,0.73,0.018,0.62,0.65,0.68,0.73,0.72,0.71,0.53,0.54,0.3,0.26,170,Nut development,Sprinkler,Apple,15489,0,Kharif
5672,GJ043,14.2,78.32,FLD05672,18065,Apple,Fruit,Year-round,Plateau,215,35,182,6.0,0.63,Laterite,20,11.5,1030,976,438,600,869,31.6,31.6,76,5.0,1.04,0.67,0.72,0.016,0.64,0.63,0.66,0.68,0.72,0.72,0.53,0.55,0.29,0.29,142,Bulbing,Sprinkler,Apple,26934,0,Kharif
5673,HR042,11.62,75.67,FLD05673,17085,Apple,Fruit,Year-round,Arid,259,44,184,7.2,0.64,Clay Loam,36,18.4,441,96,50,75,85,29.0,29.0,53,3.1,1.04,0.69,0.74,0.02,0.64,0.66,0.65,0.71,0.71,0.74,0.55,0.55,0.3,0.3,317,Flowering,Drip,Apple,35874,222,Rabi
5674,UP028,14.69,88.65,FLD05674,8962,Apple,Fruit,Year-round,Sub-Humid,260,52,213,6.5,0.71,Laterite,35,8.4,936,344,130,300,324,23.4,23.4,71,3.1,1.04,0.69,0.75,0.016,0.64,0.65,0.67,0.7,0.75,0.72,0.54,0.56,0.29,0.29,321,Tuber bulking,Sprinkler,Apple,14606,0,Rabi
5675,HR024,21.02,77.85,FLD05675,14972,Apple,Fruit,Year-round,Arid,319,40,213,7.3,0.74,Sandy Loam,32,16.0,256,65,34,54,60,25.9,25.9,47,2.9,1.04,0.68,0.74,0.022,0.63,0.63,0.66,0.69,0.73,0.74,0.52,0.53,0.28,0.23,329,Fruiting,Sprinkler,Apple,30382,608,Rabi
5676,KA019,15.48,77.35,FLD05676,9957,Apple,Fruit,Year-round,Arid,249,28,221,7.1,0.83,Laterite,31,24.6,392,337,150,228,290,31.7,31.7,47,4.5,1.04,0.67,0.73,0.012,0.65,0.63,0.65,0.67,0.73,0.71,0.54,0.54,0.28,0.26,150,Fruiting,Drip,Apple,15072,0,Kharif
5677,TN014,10.99,81.6,FLD05677,17474,Apple,Fruit,Year-round,Humid,219,42,211,6.3,0.98,Clay Loam,24,8.2,1520,1163,357,732,1099,27.0,27.0,85,4.1,1.04,0.68,0.74,0.022,0.63,0.65,0.64,0.7,0.73,0.74,0.52,0.55,0.27,0.3,144,Fruiting,Sprinkler,Apple,25123,0,Kharif
5678,PB042,15.98,86.89,FLD05678,5769,Apple,Fruit,Year-round,Coastal,254,47,201,6.4,0.94,Sandy Clay,34,7.7,2333,471,246,392,447,23.5,23.5,78,3.3,1.04,0.67,0.7,0.012,0.64,0.65,0.66,0.7,0.7,0.7,0.54,0.55,0.31,0.25,334,Boll formation,Sprinkler,Apple,9495,0,Rabi
5679,PB023,28.15,79.33,FLD05679,15031,Apple,Fruit,Year-round,Humid,185,41,220,6.7,0.79,Clay Loam,33,6.8,1786,448,162,351,412,22.4,22.4,82,3.8,1.04,0.68,0.74,0.022,0.62,0.64,0.65,0.71,0.74,0.73,0.54,0.53,0.26,0.23,334,Pod formation,Drip,Apple,23667,0,Rabi
5680,MH047,34.98,82.85,FLD05680,11082,Apple,Fruit,Year-round,Mountain,242,36,222,7.6,0.53,Sandy Loam,30,9.0,2065,459,251,374,400,11.3,11.3,67,3.4,1.04,0.67,0.72,0.02,0.62,0.63,0.68,0.71,0.69,0.72,0.53,0.53,0.29,0.26,319,Tillering,Surface,Apple,17196,0,Rabi
5681,KA028,28.43,88.02,FLD05681,13487,Apple,Fruit,Year-round,Arid,301,28,223,6.6,0.81,Clay Loam,38,25.0,310,282,85,192,243,32.5,32.5,53,4.4,1.04,0.68,0.71,0.018,0.62,0.67,0.66,0.69,0.71,0.71,0.53,0.57,0.32,0.22,147,Rhizome development,Sprinkler,Apple,19968,0,Kharif
5682,AP005,31.2,78.92,FLD05682,7709,Apple,Fruit,Year-round,Mountain,185,46,191,6.9,0.72,Sandy,22,9.0,1759,365,200,267,341,18.9,18.9,75,3.6,1.04,0.69,0.71,0.012,0.65,0.67,0.69,0.71,0.69,0.71,0.57,0.56,0.3,0.24,327,Nut development,Surface,Apple,11125,0,Rabi
5683,TN046,29.89,85.37,FLD05683,5537,Apple,Fruit,Year-round,Mountain,226,46,219,6.2,0.59,Sandy,36,7.5,2997,2430,1016,1838,2175,18.1,18.1,79,5.3,1.04,0.68,0.73,0.018,0.64,0.65,0.68,0.7,0.69,0.73,0.56,0.56,0.29,0.25,144,Bearing,Surface,Apple,8078,0,Kharif
5684,MH023,21.97,76.57,FLD05684,13199,Apple,Fruit,Year-round,Plateau,269,44,197,6.3,0.89,Sandy Clay,30,10.8,1006,896,317,660,814,31.0,31.0,70,5.3,1.04,0.68,0.74,0.018,0.64,0.62,0.64,0.73,0.74,0.73,0.54,0.52,0.28,0.24,144,Grain filling,Drip,Apple,20147,0,Kharif
5685,RJ017,24.24,76.37,FLD05685,14552,Apple,Fruit,Year-round,Arid,244,34,222,6.8,0.98,Clay Loam,21,19.2,252,72,27,66,67,29.8,29.8,47,2.9,1.04,0.7,0.74,0.016,0.66,0.67,0.69,0.69,0.73,0.74,0.55,0.58,0.3,0.23,323,Tillering,Drip,Apple,27979,380,Rabi
5686,MH027,26.31,88.11,FLD05686,13319,Apple,Fruit,Year-round,Humid,264,50,181,7.5,0.94,Sandy Loam,33,7.2,1833,404,177,372,372,20.6,20.6,78,3.8,1.04,0.68,0.75,0.026,0.62,0.63,0.68,0.69,0.73,0.75,0.53,0.55,0.25,0.29,333,Nut development,Sprinkler,Apple,20378,0,Rabi
5687,HR043,25.53,85.01,FLD05687,14808,Apple,Fruit,Year-round,Arid,196,47,195,7.2,0.83,Clay,20,21.4,319,84,44,76,76,28.4,28.4,56,2.9,1.04,0.67,0.72,0.018,0.63,0.63,0.67,0.69,0.71,0.72,0.55,0.54,0.24,0.26,310,Nut development,Sprinkler,Apple,30459,286,Rabi
5688,MH050,23.35,78.97,FLD05688,7727,Apple,Fruit,Year-round,Sub-Humid,309,52,200,7.4,0.8,Clay,31,9.8,979,837,298,624,791,28.1,28.1,68,5.2,1.04,0.68,0.72,0.016,0.62,0.66,0.67,0.71,0.72,0.7,0.53,0.55,0.32,0.25,164,Grain filling,Sprinkler,Apple,13247,0,Kharif
5689,RJ035,10.92,82.63,FLD05689,10054,Apple,Fruit,Year-round,Arid,188,44,217,7.4,0.62,Sandy,30,20.6,295,229,75,160,208,33.8,33.8,57,5.1,1.04,0.67,0.72,0.016,0.64,0.63,0.68,0.68,0.7,0.72,0.56,0.52,0.27,0.31,150,Tillering,Drip,Apple,16825,0,Kharif
5690,MP040,21.57,88.29,FLD05690,10244,Apple,Fruit,Year-round,Plateau,236,43,223,6.6,0.61,Clay,33,14.8,820,246,107,222,222,23.7,23.7,65,3.8,1.04,0.66,0.72,0.022,0.61,0.62,0.64,0.69,0.7,0.72,0.51,0.54,0.32,0.27,310,Mature,Sprinkler,Apple,15416,0,Rabi
5691,KA028,18.25,89.56,FLD05691,16322,Apple,Fruit,Year-round,Humid,251,47,207,5.9,0.9,Sandy Loam,25,8.7,3187,2691,960,2053,2452,28.3,28.3,75,5.1,1.04,0.68,0.72,0.014,0.65,0.65,0.67,0.7,0.7,0.72,0.56,0.56,0.31,0.24,151,Rhizome development,Surface,Apple,25401,0,Kharif
5692,RJ005,30.05,83.18,FLD05692,15114,Apple,Fruit,Year-round,Mountain,194,51,214,7.6,0.94,Clay,31,12.4,1087,1003,392,741,905,23.2,23.2,77,5.0,1.04,0.67,0.75,0.018,0.61,0.64,0.67,0.68,0.75,0.7,0.54,0.53,0.28,0.32,154,Boll formation,Drip,Apple,24972,0,Kharif
5693,AP050,30.48,93.77,FLD05693,5268,Apple,Fruit,Year-round,Mountain,249,32,225,6.0,0.76,Clay Loam,23,14.1,2246,887,315,690,783,13.3,13.3,77,3.3,1.04,0.68,0.72,0.01,0.67,0.61,0.66,0.68,0.72,0.72,0.56,0.51,0.31,0.25,330,Tuber bulking,Drip,Apple,8046,0,Rabi
5694,PB029,16.39,76.56,FLD05694,5451,Apple,Fruit,Year-round,Arid,295,42,200,5.8,0.55,Clay Loam,36,22.2,457,156,60,117,140,27.9,27.9,55,2.9,1.04,0.68,0.73,0.018,0.64,0.63,0.67,0.72,0.7,0.73,0.54,0.53,0.32,0.25,310,Grain filling,Drip,Apple,10570,0,Rabi
5695,GJ016,17.49,73.65,FLD05695,13699,Apple,Fruit,Year-round,Sub-Humid,188,42,209,6.7,0.58,Clay Loam,20,11.1,1118,234,84,201,204,22.4,22.4,74,2.9,1.04,0.67,0.72,0.022,0.61,0.65,0.68,0.68,0.7,0.72,0.52,0.54,0.25,0.3,331,Tuber bulking,Drip,Apple,20728,0,Rabi
5696,AP023,12.8,77.77,FLD05696,16442,Apple,Fruit,Year-round,Coastal,189,45,231,6.7,0.88,Clay Loam,38,11.8,1157,357,133,303,317,24.7,24.7,77,3.6,1.04,0.69,0.75,0.02,0.65,0.67,0.64,0.69,0.72,0.75,0.54,0.55,0.3,0.31,307,Mature,Sprinkler,Apple,27898,0,Rabi
5697,TN015,26.81,88.06,FLD05697,7370,Apple,Fruit,Year-round,Sub-Humid,224,42,188,7.7,0.86,Sandy,34,8.6,856,746,241,493,683,27.6,27.6,76,4.3,1.04,0.67,0.7,0.018,0.61,0.65,0.69,0.69,0.7,0.7,0.52,0.53,0.28,0.24,162,Flush,Drip,Apple,10359,0,Kharif
5698,AP050,21.76,76.61,FLD05698,16515,Apple,Fruit,Year-round,Arid,284,44,211,5.8,0.75,Laterite,35,19.9,423,141,58,108,122,27.0,27.0,54,3.8,1.04,0.68,0.73,0.014,0.66,0.67,0.64,0.68,0.7,0.73,0.57,0.57,0.24,0.31,317,Tuber development,Drip,Apple,34866,0,Rabi
5699,KA003,26.56,80.66,FLD05699,19636,Apple,Fruit,Year-round,Semi-Arid,224,48,213,6.7,0.8,Loam,26,10.2,574,482,160,381,448,30.7,30.7,55,5.0,1.04,0.68,0.72,0.012,0.66,0.64,0.64,0.72,0.69,0.72,0.55,0.55,0.31,0.25,152,Flowering,Drip,Apple,28986,0,Kharif
5700,GJ010,18.06,70.1,FLD05700,8418,Apple,Fruit,Year-round,Sub-Humid,319,33,237,7.0,0.68,Loam,35,9.6,1103,351,142,308,322,23.1,23.1,71,3.2,1.04,0.68,0.71,0.016,0.63,0.66,0.69,0.71,0.71,0.71,0.52,0.58,0.32,0.25,329,Flush,Sprinkler,Apple,12975,0,Rabi
5701,PB002,27.62,79.75,FLD05701,8486,Guava,Fruit,Year-round,Mountain,302,43,179,6.0,0.57,Clay Loam,37,12.1,1130,923,382,655,809,19.2,19.2,62,5.6,1.02,0.68,0.74,0.006,0.67,0.63,0.66,0.68,0.74,0.7,0.56,0.52,0.26,0.32,144,Flowering,Drip,Guava,12299,0,Kharif
5702,UP041,12.33,84.71,FLD05702,9593,Guava,Fruit,Year-round,Coastal,290,43,221,7.6,0.6,Clay,23,9.2,1747,1490,456,1182,1399,28.3,28.3,74,4.5,1.02,0.68,0.72,0.016,0.63,0.66,0.68,0.69,0.72,0.71,0.52,0.55,0.33,0.26,161,Pod formation,Drip,Guava,16575,0,Kharif
5703,UP013,22.73,77.39,FLD05703,12830,Guava,Fruit,Year-round,Plateau,213,48,227,6.7,0.87,Loam,35,10.8,842,723,244,505,628,28.2,28.2,65,5.4,1.02,0.68,0.73,0.02,0.63,0.62,0.67,0.72,0.73,0.73,0.53,0.54,0.25,0.29,168,Nut development,Drip,Guava,21552,0,Kharif
5704,MP045,18.68,80.04,FLD05704,14362,Guava,Fruit,Year-round,Humid,190,52,222,6.2,0.76,Clay,30,7.5,1325,476,199,394,448,22.2,22.2,79,4.0,1.02,0.69,0.73,0.018,0.63,0.67,0.65,0.73,0.72,0.72,0.54,0.56,0.25,0.29,332,Tuber development,Drip,Guava,24370,0,Rabi
5705,AP044,20.41,76.13,FLD05705,5318,Guava,Fruit,Year-round,Humid,289,50,219,6.3,0.87,Laterite,37,6.8,2830,2236,1006,1758,1906,28.5,28.5,81,4.7,1.02,0.69,0.75,0.018,0.66,0.63,0.67,0.7,0.71,0.75,0.57,0.53,0.3,0.23,143,Vegetative,Sprinkler,Guava,8395,0,Kharif
5706,TN041,27.64,81.1,FLD05706,18817,Guava,Fruit,Year-round,Humid,315,39,192,6.1,0.65,Sandy Loam,28,6.3,2160,1724,679,1379,1497,25.0,25.0,82,5.3,1.02,0.68,0.73,0.012,0.66,0.62,0.66,0.68,0.73,0.72,0.56,0.53,0.24,0.27,167,Tillering,Drip,Guava,28682,0,Kharif
5707,TN002,25.92,77.43,FLD05707,5563,Guava,Fruit,Year-round,Humid,223,40,192,7.2,0.71,Laterite,27,7.9,2645,964,343,874,908,21.7,21.7,79,3.9,1.02,0.68,0.72,0.012,0.65,0.67,0.63,0.7,0.72,0.71,0.54,0.59,0.27,0.27,334,Grain filling,Surface,Guava,8823,0,Rabi
5708,PB019,25.91,84.23,FLD05708,6076,Guava,Fruit,Year-round,Sub-Humid,194,52,225,6.9,0.83,Sandy Clay,24,12.8,1095,263,123,204,226,23.0,23.0,73,4.0,1.02,0.7,0.75,0.016,0.67,0.65,0.69,0.7,0.74,0.75,0.56,0.56,0.26,0.32,327,Bulbing,Sprinkler,Guava,9710,0,Rabi
5709,GJ017,19.31,79.03,FLD05709,5175,Guava,Fruit,Year-round,Arid,306,43,208,7.7,0.65,Sandy Clay,31,19.7,400,317,132,218,284,35.6,35.6,52,5.1,1.02,0.68,0.72,0.018,0.63,0.65,0.64,0.72,0.72,0.72,0.55,0.57,0.29,0.25,159,Bearing,Sprinkler,Guava,8447,0,Kharif
5710,UP023,22.93,89.31,FLD05710,11745,Guava,Fruit,Year-round,Sub-Humid,208,43,226,7.6,0.9,Laterite,27,8.3,1111,303,115,238,270,22.9,22.9,76,4.0,1.02,0.68,0.75,0.016,0.63,0.65,0.67,0.68,0.75,0.71,0.53,0.55,0.28,0.29,332,Reproductive,Drip,Guava,19698,0,Rabi
5711,MH029,13.35,84.92,FLD05711,14610,Guava,Fruit,Year-round,Semi-Arid,308,37,172,7.5,0.74,Sandy,34,12.9,597,217,78,165,194,25.9,25.9,61,3.3,1.02,0.69,0.75,0.02,0.65,0.62,0.68,0.73,0.69,0.75,0.54,0.52,0.32,0.27,324,Flowering,Drip,Guava,22873,0,Rabi
5712,PB013,28.84,82.81,FLD05712,14900,Guava,Fruit,Year-round,Plateau,309,29,238,7.4,0.73,Laterite,35,13.8,1256,300,112,240,267,21.4,21.4,63,3.6,1.02,0.68,0.72,0.012,0.66,0.67,0.64,0.68,0.7,0.72,0.54,0.55,0.32,0.26,321,Grain filling,Surface,Guava,23407,0,Rabi
5713,KA011,20.09,81.84,FLD05713,5581,Guava,Fruit,Year-round,Sub-Humid,264,35,231,6.7,0.58,Laterite,24,12.9,948,298,127,265,274,23.5,23.5,75,3.4,1.02,0.68,0.71,0.004,0.67,0.61,0.68,0.7,0.71,0.69,0.58,0.5,0.26,0.31,330,Boll formation,Surface,Guava,8423,0,Rabi
5714,KA023,27.59,91.57,FLD05714,15734,Guava,Fruit,Year-round,Mountain,291,45,211,6.5,0.83,Laterite,25,8.4,1751,593,240,542,544,15.2,15.2,81,4.0,1.02,0.67,0.72,0.012,0.64,0.62,0.66,0.71,0.72,0.7,0.55,0.54,0.32,0.31,329,Rhizome development,Drip,Guava,25176,0,Rabi
5715,MH023,8.48,68.63,FLD05715,13266,Guava,Fruit,Year-round,Coastal,255,51,182,7.6,0.77,Clay,27,8.3,1050,250,103,191,230,23.3,23.3,81,3.6,1.02,0.69,0.74,0.014,0.65,0.66,0.66,0.7,0.74,0.72,0.57,0.55,0.26,0.29,321,Tillering,Surface,Guava,21704,0,Rabi
5716,HR023,18.09,86.85,FLD05716,9733,Guava,Fruit,Year-round,Humid,320,29,194,5.8,0.84,Clay,31,9.4,2441,921,387,693,837,20.8,20.8,83,3.1,1.02,0.67,0.73,0.014,0.63,0.62,0.67,0.7,0.73,0.7,0.54,0.54,0.32,0.31,330,Bearing,Surface,Guava,15174,0,Rabi
5717,AP009,23.77,78.41,FLD05717,14918,Guava,Fruit,Year-round,Arid,311,28,194,6.9,0.72,Sandy Loam,31,25.0,302,71,30,66,64,29.2,29.2,51,3.2,1.02,0.67,0.72,0.016,0.64,0.66,0.64,0.68,0.7,0.72,0.56,0.55,0.24,0.24,324,Tillering,Drip,Guava,28993,562,Rabi
5718,GJ025,31.98,78.44,FLD05718,11223,Guava,Fruit,Year-round,Mountain,198,48,186,6.2,0.86,Sandy Clay,28,13.8,1352,1180,496,878,1102,17.5,17.5,60,4.6,1.02,0.69,0.74,0.022,0.63,0.66,0.67,0.72,0.73,0.74,0.52,0.58,0.24,0.3,152,Boll formation,Surface,Guava,17976,0,Kharif
5719,HR030,27.89,81.94,FLD05719,19402,Guava,Fruit,Year-round,Humid,227,45,190,7.1,0.93,Clay Loam,34,9.4,1612,612,330,527,550,20.2,20.2,78,3.2,1.02,0.68,0.74,0.016,0.66,0.65,0.67,0.67,0.69,0.74,0.55,0.54,0.27,0.24,306,Fruiting,Surface,Guava,29953,0,Rabi
5720,TN047,33.1,84.83,FLD05720,14812,Guava,Fruit,Year-round,Mountain,227,32,193,6.9,0.75,Clay Loam,33,10.5,2429,970,411,885,874,13.0,13.0,69,3.4,1.02,0.68,0.75,0.022,0.64,0.61,0.69,0.68,0.73,0.75,0.56,0.53,0.32,0.31,334,Rhizome development,Sprinkler,Guava,22693,0,Rabi
5721,HR007,16.88,86.05,FLD05721,8105,Guava,Fruit,Year-round,Plateau,272,34,175,6.1,0.78,Clay Loam,31,10.6,1184,432,227,403,390,24.6,24.6,67,3.6,1.02,0.67,0.74,0.01,0.64,0.62,0.66,0.68,0.74,0.69,0.52,0.54,0.29,0.25,323,Flush,Surface,Guava,11327,0,Rabi
5722,MH017,32.19,81.69,FLD05722,18604,Guava,Fruit,Year-round,Mountain,308,39,211,7.2,0.81,Loam,33,9.0,2686,742,387,656,647,17.2,17.2,70,3.7,1.02,0.69,0.72,0.016,0.63,0.67,0.67,0.72,0.72,0.71,0.52,0.58,0.3,0.24,334,Pod formation,Surface,Guava,28948,0,Rabi
5723,GJ017,10.25,71.35,FLD05723,7102,Guava,Fruit,Year-round,Semi-Arid,224,28,227,6.8,0.5,Sandy,23,10.1,823,645,235,428,576,31.7,31.7,57,4.8,1.02,0.69,0.75,0.028,0.61,0.65,0.68,0.7,0.74,0.75,0.51,0.54,0.28,0.28,146,Fruiting,Drip,Guava,10138,0,Kharif
5724,MH023,17.71,80.88,FLD05724,15187,Guava,Fruit,Year-round,Coastal,260,52,200,6.7,0.54,Clay Loam,21,7.3,1314,277,119,204,239,24.9,24.9,71,3.8,1.02,0.67,0.74,0.016,0.64,0.62,0.64,0.67,0.74,0.72,0.56,0.51,0.27,0.32,323,Tuber development,Sprinkler,Guava,23339,0,Rabi
5725,HR042,18.87,79.02,FLD05725,14029,Guava,Fruit,Year-round,Coastal,284,43,212,7.3,0.52,Clay Loam,23,7.5,1908,400,198,350,371,24.8,24.8,71,3.5,1.02,0.68,0.73,0.014,0.63,0.66,0.66,0.72,0.73,0.7,0.55,0.54,0.3,0.25,306,Grain filling,Surface,Guava,22954,0,Rabi
5726,GJ022,14.01,83.45,FLD05726,9754,Guava,Fruit,Year-round,Coastal,190,33,178,6.9,0.69,Laterite,36,9.3,1107,371,144,266,318,24.0,24.0,78,4.2,1.02,0.68,0.73,0.022,0.62,0.64,0.68,0.68,0.72,0.73,0.53,0.54,0.26,0.28,335,Mature,Sprinkler,Guava,13082,0,Rabi
5727,HR027,20.42,72.87,FLD05727,15789,Guava,Fruit,Year-round,Coastal,263,37,171,7.0,0.9,Clay,31,9.0,800,663,245,492,565,29.0,29.0,73,4.4,1.02,0.69,0.73,0.016,0.64,0.66,0.65,0.71,0.73,0.72,0.55,0.58,0.23,0.27,151,Nut development,Surface,Guava,23394,0,Kharif
5728,MH050,24.44,85.34,FLD05728,14837,Guava,Fruit,Year-round,Semi-Arid,229,31,234,7.6,0.75,Loam,30,16.9,586,125,61,105,115,24.0,24.0,56,3.3,1.02,0.68,0.72,0.02,0.62,0.66,0.66,0.71,0.7,0.72,0.52,0.55,0.32,0.28,316,Bulbing,Drip,Guava,29546,0,Rabi
5729,TN031,27.45,76.3,FLD05729,6737,Guava,Fruit,Year-round,Semi-Arid,217,39,194,7.0,0.53,Loam,21,15.2,525,175,69,135,150,23.9,23.9,65,3.3,1.02,0.68,0.73,0.008,0.66,0.66,0.66,0.73,0.69,0.7,0.55,0.55,0.28,0.25,316,Flush,Drip,Guava,12830,0,Rabi
5730,TN005,17.95,89.3,FLD05730,13348,Guava,Fruit,Year-round,Semi-Arid,208,42,181,7.4,0.65,Clay,36,17.7,825,645,226,471,577,28.2,28.2,57,5.6,1.02,0.68,0.71,0.01,0.66,0.65,0.66,0.67,0.71,0.71,0.54,0.55,0.25,0.25,159,Tuber bulking,Sprinkler,Guava,20473,0,Kharif
5731,HR006,11.71,76.85,FLD05731,13837,Guava,Fruit,Year-round,Plateau,282,31,198,7.4,0.98,Loam,30,14.8,696,547,222,333,503,27.0,27.0,66,4.6,1.02,0.67,0.71,0.02,0.61,0.63,0.68,0.71,0.7,0.71,0.53,0.55,0.27,0.28,168,Tillering,Drip,Guava,20162,0,Kharif
5732,UP023,31.97,91.57,FLD05732,14557,Guava,Fruit,Year-round,Mountain,209,49,192,6.9,0.82,Clay,22,12.2,2516,2110,663,1628,1974,21.6,21.6,61,4.8,1.02,0.68,0.72,0.014,0.64,0.62,0.65,0.72,0.72,0.71,0.55,0.52,0.29,0.33,147,Fruiting,Sprinkler,Guava,20935,0,Kharif
5733,MH039,10.1,76.06,FLD05733,14490,Guava,Fruit,Year-round,Humid,258,35,215,6.2,0.55,Laterite,23,8.5,2967,981,450,829,874,20.9,20.9,84,4.2,1.02,0.68,0.73,0.02,0.63,0.66,0.64,0.7,0.7,0.73,0.54,0.55,0.27,0.3,314,Tillering,Sprinkler,Guava,21478,0,Rabi
5734,GJ019,28.76,73.4,FLD05734,13882,Guava,Fruit,Year-round,Arid,188,30,172,6.9,0.65,Sandy,32,24.1,494,159,71,141,135,29.1,29.1,53,3.4,1.02,0.68,0.74,0.022,0.63,0.62,0.67,0.71,0.7,0.74,0.55,0.52,0.32,0.24,306,Bearing,Sprinkler,Guava,23140,0,Rabi
5735,KA043,28.39,89.33,FLD05735,5993,Guava,Fruit,Year-round,Semi-Arid,189,42,235,7.4,0.78,Clay,25,10.5,718,597,188,416,520,31.7,31.7,59,4.8,1.02,0.69,0.75,0.018,0.66,0.67,0.68,0.72,0.69,0.75,0.55,0.56,0.26,0.25,159,Mature,Sprinkler,Guava,9587,0,Kharif
5736,KA011,21.08,71.06,FLD05736,8984,Guava,Fruit,Year-round,Plateau,292,44,172,7.0,0.93,Clay Loam,24,14.6,1259,1093,464,826,933,30.8,30.8,72,5.3,1.02,0.66,0.72,0.022,0.61,0.63,0.65,0.69,0.69,0.72,0.51,0.53,0.28,0.31,167,Boll formation,Drip,Guava,13110,0,Kharif
5737,UP047,11.48,80.12,FLD05737,8669,Guava,Fruit,Year-round,Humid,247,31,177,7.6,0.8,Sandy Loam,25,9.4,2481,2025,833,1239,1922,25.1,25.1,76,4.7,1.02,0.68,0.73,0.02,0.63,0.64,0.67,0.72,0.71,0.73,0.53,0.54,0.28,0.25,147,Tuber development,Sprinkler,Guava,12680,0,Kharif
5738,UP030,20.45,74.06,FLD05738,11535,Guava,Fruit,Year-round,Arid,203,30,228,5.8,0.7,Sandy Loam,33,24.2,289,224,96,156,210,33.1,33.1,58,4.5,1.02,0.67,0.72,0.016,0.63,0.64,0.65,0.69,0.72,0.71,0.53,0.55,0.27,0.24,146,Tillering,Drip,Guava,18050,0,Kharif
5739,HR040,25.2,76.04,FLD05739,16144,Guava,Fruit,Year-round,Semi-Arid,266,32,204,7.6,0.6,Sandy Loam,33,13.7,746,280,109,243,251,24.6,24.6,56,3.1,1.02,0.69,0.75,0.014,0.67,0.63,0.69,0.69,0.75,0.74,0.58,0.55,0.31,0.33,330,Grain filling,Sprinkler,Guava,24093,0,Rabi
5740,RJ020,11.99,69.77,FLD05740,16433,Guava,Fruit,Year-round,Coastal,277,48,186,7.5,0.77,Sandy,23,10.3,1943,1461,461,884,1358,28.2,28.2,77,4.5,1.02,0.68,0.73,0.024,0.61,0.67,0.67,0.69,0.71,0.73,0.51,0.56,0.32,0.29,156,Bearing,Drip,Guava,27209,0,Kharif
5741,MP037,10.41,85.42,FLD05741,14056,Guava,Fruit,Year-round,Semi-Arid,201,48,208,6.2,0.76,Sandy Clay,21,14.3,538,178,71,144,163,23.7,23.7,58,4.0,1.02,0.68,0.7,0.004,0.67,0.67,0.67,0.7,0.7,0.69,0.58,0.57,0.27,0.24,321,Rhizome development,Drip,Guava,26726,0,Rabi
