intent,utterance
planting_schedule,When does Coriander mature after planting?
fertilizer_advice,"Fertilizer recommendation for Arecanut given N=225, P=60, K=300"
recommend_crop,Best crop for temperature 26C and humidity 70%
pest_disease_help,Best pesticide practice for Jowar
planting_schedule,Optimal planting time for Castor
pest_disease_help,My Ragi leaves are yellow — what could be wrong?
pest_disease_help,My Arecanut leaves are yellow — what could be wrong?
recommend_crop,Suggest a crop for low nitrogen soils (N=125 kg/ha)
recommend_crop,Best crop for temperature 30C and humidity 60%
fertilizer_advice,When to apply phosphorus for Barley?
recommend_crop,What crop should I grow if my soil pH is 7.5 and rainfall 300mm?
planting_schedule,What is the planting month for Linseed?
irrigation_advice,Best irrigation practice for Linseed
recommend_crop,Recommend a crop for pH 7.0 and temperature 18C
irrigation_advice,How much water does Cumin need per week?
recommend_crop,Suggest a crop for low nitrogen soils (N=100 kg/ha)
planting_schedule,When does Arecanut mature after planting?
pest_disease_help,Symptoms of common diseases in Coriander
planting_schedule,When should I plant Jute in my region?
pest_disease_help,Best pesticide practice for Castor
planting_schedule,When should I plant Rapeseed_Mustard in my region?
pest_disease_help,Best pesticide practice for Maize
pest_disease_help,Best pesticide practice for Cumin
irrigation_advice,Irrigation schedule for Tur_Arhar in Kharif season
irrigation_advice,Irrigation schedule for Potato in Rabi season
fertilizer_advice,What fertilizer schedule is best for Barley?
planting_schedule,Planting and harvesting months for Jwar
irrigation_advice,How much water does Tea need per week?
planting_schedule,Planting and harvesting months for Cabbage
recommend_crop,Recommend a crop for pH 6.5 and temperature 15C
pest_disease_help,Best pesticide practice for Cabbage
irrigation_advice,Best irrigation practice for Sesamum
fertilizer_advice,"Fertilizer recommendation for Coffee given N=150, P=45, K=225"
planting_schedule,When does Cauliflower mature after planting?
planting_schedule,What is the planting month for Carrot?
irrigation_advice,Irrigation schedule for Carrot in Rabi season
planting_schedule,When does Sugarcane mature after planting?
fertilizer_advice,What fertilizer schedule is best for Tobacco?
fertilizer_advice,Suggest fertilizer amounts for Fenugreek
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 300mm?
irrigation_advice,How much water does Sweet_Potato need per week?
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
recommend_crop,Which crop suits my soil with pH 7.5 and rainfall 250mm?
pest_disease_help,My Cabbage leaves are yellow — what could be wrong?
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
fertilizer_advice,Suggest fertilizer amounts for Maize
pest_disease_help,How to treat fungal infection in Tomato?
irrigation_advice,Best irrigation practice for Cassava
fertilizer_advice,What fertilizer schedule is best for Tomato?
recommend_crop,Recommend a crop for pH 6.2 and temperature 28C
recommend_crop,Recommend a crop for pH 7.0 and temperature 25C
fertilizer_advice,Suggest fertilizer amounts for Rapeseed_Mustard
fertilizer_advice,When to apply phosphorus for Cauliflower?
pest_disease_help,Symptoms of common diseases in Groundnut
fertilizer_advice,How much nitrogen should I apply for Cabbage?
planting_schedule,What is the planting month for Coconut?
recommend_crop,Suggest a crop for low nitrogen soils (N=80 kg/ha)
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 350mm?
irrigation_advice,How much water does Carrot need per week?
pest_disease_help,My Oats leaves are yellow — what could be wrong?
pest_disease_help,Best pesticide practice for Safflower
irrigation_advice,Irrigation schedule for Arecanut in Year Round season
recommend_crop,Recommend a crop for pH 6.8 and temperature 24C
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 500mm?
fertilizer_advice,How much nitrogen should I apply for Sugarcane?
planting_schedule,Planting and harvesting months for Fenugreek
fertilizer_advice,What fertilizer schedule is best for Cotton?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 500mm?
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 300mm?
fertilizer_advice,Suggest fertilizer amounts for Cotton
irrigation_advice,How often should I irrigate Okra?
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 300mm?
planting_schedule,Optimal planting time for Ragi
pest_disease_help,Best pesticide practice for Turmeric
irrigation_advice,Irrigation schedule for Black_Pepper in Year Round season
irrigation_advice,Irrigation schedule for Bajra in Kharif season
irrigation_advice,Water requirement for Sweet_Potato with rainfall 500mm
recommend_crop,Best crop for temperature 25C and humidity 60%
fertilizer_advice,When to apply phosphorus for Ragi?
planting_schedule,Planting and harvesting months for Gram
recommend_crop,Recommend a crop for pH 5.8 and temperature 20C
recommend_crop,Which crop suits my soil with pH 6.0 and rainfall 1000mm?
irrigation_advice,How much water does Cumin need per week?
pest_disease_help,How to treat fungal infection in Cumin?
planting_schedule,When should I plant Gram in my region?
fertilizer_advice,What fertilizer schedule is best for Gram?
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 600mm?
irrigation_advice,How often should I irrigate Sugarcane?
fertilizer_advice,Suggest fertilizer amounts for Barley
irrigation_advice,Water requirement for Jute with rainfall 1100mm
recommend_crop,Best crop for temperature 25C and humidity 70%
fertilizer_advice,Suggest fertilizer amounts for Tur_Arhar
irrigation_advice,How often should I irrigate Green_Peas?
fertilizer_advice,"Fertilizer recommendation for Potato given N=150, P=75, K=150"
irrigation_advice,How often should I irrigate Tea?
