N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,label
11.94,65.59,18.18,28.59,80.42,6.78,654.89,Black Soil,Madhya Pradesh,Kharif,Blackgram
74.52,30.38,31.31,32.36,85.45,6.88,1679.6,Alluvial,West Bengal,Kharif,Jute
95.2,50.99,60.15,26.79,26.53,7.13,477.67,Black Soil,Andhra Pradesh,Kharif,Cotton
82.05,70.41,42.38,23.14,70.1,6.95,435.41,Loamy,Rajasthan,Kharif,Maize
51.78,33.73,23.38,36.84,78.78,6.02,1445.44,Alluvial,Odisha,Kharif,Jute
13.86,26.87,24.39,39.19,48.32,7.39,184.48,Sandy Loam,Maharashtra,Kharif,Mothbeans
86.86,53.03,217.21,24.27,79.55,6.08,1973.8,Coastal Sandy,Kerala,Perennial,Coconut
28.91,74.38,27.58,20.97,45.92,7.14,672.42,Red Soil,Gujarat,Kharif,Pigeonpeas
69.17,34.43,69.44,19.18,77.63,6.24,1150.81,Alluvial,Jammu Kashmir,Perennial,Apple
111.63,36.11,84.8,31.06,83.1,5.79,1029.93,Alluvial,Andhra Pradesh,Perennial,Mango
51.5,55.08,115.01,23.94,84.52,6.19,1184.75,Alluvial,Uttar Pradesh,Perennial,Mango
66.14,35.21,63.77,27.12,34.86,6.63,353.4,Red Soil,Karnataka,Perennial,Pomegranate
32.71,62.74,20.87,17.6,41.74,6.73,480.09,Black Soil,Maharashtra,Rabi,Chickpea
211.68,33.86,350.91,29.98,72.71,6.75,1464.96,Loamy,Tamil Nadu,Perennial,Banana
10.34,49.71,8.53,19.55,49.13,6.39,358.55,Sandy Loam,West Bengal,Rabi,Lentil
115.51,33.72,58.92,31.92,41.1,7.01,247.36,Sandy Loam,Andhra Pradesh,Summer,Watermelon
60.61,29.34,49.7,31.33,35.65,7.29,386.19,Black Soil,Maharashtra,Perennial,Pomegranate
22.52,38.42,18.45,34.18,54.29,6.52,571.13,Sandy Loam,Maharashtra,Kharif,Mungbean
86.84,82.57,48.77,23.27,71.23,6.28,927.58,Black Soil,Andhra Pradesh,Kharif,Cotton
72.59,36.04,35.76,27.06,91.52,6.41,1325.2,Clayey,Punjab,Kharif,Rice
59.74,35.58,24.93,28.76,85.2,7.03,1366.76,Alluvial,Bihar,Kharif,Jute
192.25,48.5,231.9,31.29,72.25,6.47,1566.43,Alluvial,Maharashtra,Perennial,Banana
157.69,35.02,49.56,25.53,84.12,5.85,1479.25,Laterite,Karnataka,Perennial,Coffee
154.91,42.97,46.25,27.69,86.86,7.29,814.49,Alluvial,Karnataka,Kharif,Maize
244.73,215.8,397.56,24.66,88.9,6.08,1629.58,Alluvial,Karnataka,Perennial,Papaya
170.76,71.18,349.36,28.89,70.68,6.96,2536.38,Loamy,Gujarat,Perennial,Banana
99.01,40.47,60.18,33.99,64.01,6.85,513.99,Alluvial,Telangana,Kharif,Cotton
115.59,49.84,119.07,31.14,48.99,6.6,1109.06,Alluvial,Uttar Pradesh,Perennial,Mango
101.03,58.67,225.99,22.03,84.71,5.77,1307.98,Loamy,Kerala,Perennial,Coconut
22.22,73.28,24.6,16.52,51.2,5.87,379.7,Sandy Loam,Jammu Kashmir,Kharif,Kidneybeans
29.38,55.19,16.94,25.22,68.8,6.74,587.99,Loamy,Karnataka,Kharif,Mungbean
51.34,16.19,59.23,29.34,38.24,6.99,647.31,Black Soil,Maharashtra,Perennial,Pomegranate
189.72,80.41,365.41,32.24,86.07,5.57,1883.9,Loamy,Tamil Nadu,Perennial,Banana
20.33,52.55,26.08,17.47,58.81,6.73,335.95,Loamy,Madhya Pradesh,Rabi,Lentil
22.24,30.16,14.22,26.31,45.33,6.32,353.74,Arid,Rajasthan,Kharif,Mothbeans
116.44,71.65,34.09,20.96,51.5,7.2,565.39,Loamy,Karnataka,Kharif,Maize
86.16,43.79,26.79,19.08,74.33,6.49,1383.65,Alluvial,Andhra Pradesh,Kharif,Rice
17.0,40.2,15.34,31.19,67.56,6.55,414.45,Loamy,Andhra Pradesh,Kharif,Mungbean
19.85,70.9,21.38,15.02,53.87,6.64,198.89,Loamy,Uttar Pradesh,Rabi,Lentil
29.96,38.23,15.07,37.38,52.69,6.47,628.0,Loamy,Gujarat,Kharif,Pigeonpeas
125.41,39.96,209.03,28.9,83.96,5.58,2799.0,Coastal Sandy,Kerala,Perennial,Coconut
48.08,45.39,75.35,15.04,86.63,5.78,713.56,Mountain Soil,Himachal Pradesh,Perennial,Apple
120.27,52.24,64.3,26.06,70.75,6.61,1543.56,Alluvial,Rajasthan,Perennial,Orange
85.16,47.96,62.89,35.23,53.62,6.29,480.24,Loamy,Tamil Nadu,Summer,Watermelon
25.37,41.46,18.72,29.16,61.49,5.22,208.39,Alluvial,Andhra Pradesh,Kharif,Mungbean
109.25,20.96,52.07,33.25,63.39,5.75,439.27,Sandy Loam,Maharashtra,Summer,Watermelon
19.41,68.25,14.85,23.05,42.22,7.04,528.55,Black Soil,Rajasthan,Rabi,Chickpea
66.07,42.93,102.33,19.29,96.96,6.12,860.73,Loamy,Jammu Kashmir,Perennial,Apple
138.31,78.42,40.82,19.36,61.11,5.63,668.66,Loamy,Bihar,Kharif,Maize
79.16,49.51,87.6,27.04,48.85,5.75,1282.28,Laterite,Andhra Pradesh,Perennial,Mango
16.81,29.06,18.75,29.57,79.33,6.62,524.48,Loamy,Andhra Pradesh,Summer,Mungbean
45.21,34.71,26.59,25.35,72.12,6.5,1545.04,Alluvial,Andhra Pradesh,Kharif,Rice
10.21,47.5,15.09,37.7,48.6,6.81,281.23,Arid,Maharashtra,Kharif,Mothbeans
145.17,200.27,383.88,30.17,91.52,6.98,1054.82,Alluvial,Maharashtra,Perennial,Papaya
16.87,35.1,24.77,19.05,70.35,6.03,772.75,Sandy Loam,Himachal Pradesh,Kharif,Kidneybeans
96.66,44.64,201.91,31.69,78.76,4.92,1761.89,Coastal Sandy,Kerala,Perennial,Coconut
178.03,57.37,377.36,32.03,84.86,6.4,1815.41,Alluvial,Tamil Nadu,Perennial,Banana
94.98,54.83,55.47,17.07,67.58,6.28,1045.43,Mountain Soil,Uttarakhand,Perennial,Apple
84.58,25.39,243.4,31.19,88.28,6.04,2183.28,Loamy,Andhra Pradesh,Perennial,Coconut
27.64,71.0,42.43,27.27,58.54,5.55,521.54,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
89.37,66.46,96.42,29.19,86.14,6.32,1135.48,Alluvial,Rajasthan,Perennial,Orange
30.94,51.15,26.15,25.06,77.03,6.22,278.16,Alluvial,Uttar Pradesh,Kharif,Blackgram
117.93,57.18,55.74,30.96,69.62,7.88,877.43,Alluvial,Andhra Pradesh,Kharif,Cotton
127.84,82.83,77.33,30.81,51.47,6.36,537.87,Sandy Loam,Maharashtra,Perennial,Grapes
81.42,51.42,209.34,31.27,82.95,6.05,2492.16,Laterite,Andhra Pradesh,Perennial,Coconut
76.8,19.92,50.99,22.76,38.77,6.92,519.05,Sandy Loam,Rajasthan,Summer,Muskmelon
214.82,67.84,278.4,28.11,91.03,5.85,1642.87,Loamy,Tamil Nadu,Perennial,Banana
14.3,39.68,25.61,26.3,65.87,6.1,508.01,Black Soil,Uttar Pradesh,Kharif,Blackgram
243.77,217.21,380.22,26.91,78.81,5.99,1693.19,Alluvial,Andhra Pradesh,Perennial,Papaya
154.26,224.93,300.39,27.3,61.31,6.29,900.87,Alluvial,Karnataka,Perennial,Papaya
24.78,27.16,21.37,27.57,53.88,6.9,783.44,Loamy,Maharashtra,Kharif,Mungbean
18.32,42.42,23.22,27.46,40.55,8.12,284.73,Sandy,Gujarat,Kharif,Mothbeans
70.82,52.22,55.92,27.34,65.16,6.27,526.66,Loamy,Madhya Pradesh,Rabi,Maize
12.63,46.02,25.92,26.72,51.75,5.92,714.26,Black Soil,Karnataka,Kharif,Pigeonpeas
50.91,14.64,57.79,42.47,38.75,6.3,361.34,Red Soil,Maharashtra,Perennial,Pomegranate
216.17,59.43,301.56,25.36,57.61,6.01,1747.46,Loamy,Tamil Nadu,Perennial,Banana
81.55,41.09,83.06,19.99,65.97,6.48,1055.16,Mountain Soil,Uttarakhand,Perennial,Apple
46.32,71.07,153.84,29.0,85.95,5.87,1511.51,Coastal Sandy,Kerala,Perennial,Coconut
13.34,21.78,27.57,28.61,32.51,8.78,297.47,Sandy,Rajasthan,Kharif,Mothbeans
51.93,24.1,41.17,28.4,93.52,7.47,1707.18,Alluvial,Bihar,Kharif,Jute
131.93,47.6,100.84,28.39,84.16,5.71,749.23,Alluvial,Maharashtra,Perennial,Mango
52.76,64.71,34.03,17.69,78.9,6.13,1200.19,Loamy,Uttarakhand,Perennial,Apple
82.44,31.96,46.69,24.41,67.05,6.22,1608.53,Alluvial,Punjab,Kharif,Rice
144.34,74.69,197.22,22.5,61.77,5.65,2275.59,Laterite,Kerala,Perennial,Coffee
12.94,57.18,25.42,32.07,40.75,6.82,384.09,Sandy Loam,Gujarat,Kharif,Mothbeans
196.16,243.01,500.96,25.38,82.94,7.36,1970.46,Loamy,Karnataka,Perennial,Papaya
115.76,31.42,193.72,19.28,47.36,6.49,757.49,Sandy Loam,Karnataka,Perennial,Grapes
117.18,47.81,49.42,33.07,55.3,6.3,554.17,Red Soil,Gujarat,Kharif,Cotton
99.81,56.13,154.92,27.39,83.59,6.01,1476.41,Laterite,Tamil Nadu,Perennial,Coconut
109.94,54.46,80.33,30.95,63.61,6.09,726.53,Alluvial,Maharashtra,Perennial,Mango
73.37,53.07,91.75,19.31,69.18,5.73,1314.07,Mountain Soil,Uttarakhand,Perennial,Apple
25.95,63.41,19.33,28.36,58.8,6.45,556.38,Loamy,Madhya Pradesh,Kharif,Pigeonpeas
16.27,51.75,16.48,14.59,44.53,7.04,567.74,Loamy,Karnataka,Rabi,Chickpea
20.37,66.37,17.2,23.34,55.31,6.87,284.28,Loamy,Karnataka,Rabi,Chickpea
62.94,33.17,55.91,37.6,70.79,6.89,431.54,Sandy Loam,Karnataka,Summer,Watermelon
81.7,46.41,45.11,36.29,50.73,6.52,735.66,Sandy Loam,Maharashtra,Summer,Watermelon
258.87,54.78,204.78,27.89,91.86,6.39,2066.11,Alluvial,Andhra Pradesh,Perennial,Banana
89.69,39.87,114.18,30.91,56.73,4.99,1231.48,Alluvial,Andhra Pradesh,Perennial,Mango
103.36,52.26,213.01,27.99,76.94,7.44,2648.32,Laterite,Tamil Nadu,Perennial,Coconut
15.47,58.83,15.69,27.9,73.65,6.36,448.78,Loamy,Bihar,Rabi,Lentil
11.15,45.23,21.53,27.02,44.3,7.47,501.67,Sandy Loam,Rajasthan,Summer,Mungbean
12.44,48.01,15.99,34.52,35.01,7.2,805.0,Alluvial,Maharashtra,Summer,Mungbean
188.27,222.5,376.72,33.54,75.5,7.56,1212.76,Loamy,Gujarat,Perennial,Papaya
148.93,37.78,376.65,28.33,91.98,6.18,1665.98,Clayey,Maharashtra,Perennial,Banana
136.04,47.65,50.65,26.9,46.54,6.46,579.22,Sandy Loam,Karnataka,Rabi,Maize
107.84,68.4,106.18,25.89,31.95,6.47,467.09,Sandy Loam,Karnataka,Perennial,Grapes
19.41,40.9,22.61,29.64,70.5,7.07,263.38,Alluvial,Madhya Pradesh,Kharif,Blackgram
28.84,39.49,21.0,26.75,55.57,6.7,482.88,Red Soil,Gujarat,Kharif,Pigeonpeas
91.23,52.02,126.8,25.47,64.23,6.1,638.01,Sandy Loam,Karnataka,Perennial,Grapes
71.42,35.07,97.06,24.92,65.88,6.09,1187.89,Loamy,Himachal Pradesh,Perennial,Apple
150.86,34.38,138.43,24.61,73.07,5.13,1408.24,Laterite,Tamil Nadu,Perennial,Coffee
19.9,28.88,22.41,15.0,59.05,6.47,467.52,Loamy,Uttar Pradesh,Rabi,Lentil
83.96,28.99,178.87,26.29,92.84,5.98,2236.61,Coastal Sandy,Tamil Nadu,Perennial,Coconut
83.8,78.9,144.92,24.61,50.23,7.14,612.25,Red Soil,Karnataka,Perennial,Grapes
24.52,38.7,15.56,16.72,41.08,7.01,397.5,Loamy,Madhya Pradesh,Rabi,Chickpea
23.97,46.83,13.99,28.88,63.61,6.8,483.11,Alluvial,Rajasthan,Kharif,Mungbean
179.02,74.06,325.77,30.63,92.51,5.82,2088.5,Clayey,Andhra Pradesh,Perennial,Banana
26.97,27.13,21.58,31.23,59.21,6.93,431.42,Alluvial,Rajasthan,Kharif,Mungbean
11.91,72.52,32.35,21.91,52.42,5.92,433.46,Sandy Loam,Uttarakhand,Kharif,Kidneybeans
86.16,59.54,50.07,26.7,76.9,5.9,791.99,Alluvial,West Bengal,Kharif,Rice
23.37,64.4,14.44,19.77,44.49,6.95,565.46,Sandy Loam,Jammu Kashmir,Kharif,Kidneybeans
111.36,54.85,57.87,33.48,71.28,6.21,1494.7,Alluvial,Karnataka,Perennial,Mango
13.31,54.23,18.98,23.22,61.38,5.97,255.56,Alluvial,Madhya Pradesh,Rabi,Lentil
48.13,32.37,59.81,27.67,60.03,5.7,385.56,Loamy,Rajasthan,Summer,Muskmelon
64.21,52.12,120.88,26.33,81.41,6.26,989.55,Alluvial,Karnataka,Perennial,Mango
26.33,22.93,15.31,34.58,66.45,6.4,397.86,Loamy,Karnataka,Summer,Mungbean
26.8,50.35,22.57,16.51,44.73,6.56,379.52,Loamy,Madhya Pradesh,Rabi,Chickpea
13.29,62.12,12.95,24.61,49.97,6.27,507.67,Loamy,Madhya Pradesh,Rabi,Chickpea
13.29,52.04,14.0,23.21,46.84,6.53,412.32,Loamy,West Bengal,Rabi,Lentil
43.26,48.07,81.14,15.62,77.55,6.04,310.13,Loamy,Himachal Pradesh,Perennial,Apple
209.04,83.05,288.98,31.82,83.12,6.1,2187.45,Alluvial,Andhra Pradesh,Perennial,Banana
87.27,38.16,31.39,33.92,47.14,6.82,126.99,Sandy Loam,Andhra Pradesh,Summer,Watermelon
115.32,44.29,241.54,25.04,95.94,6.21,2395.74,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
314.37,102.3,299.24,30.69,94.95,5.93,1583.52,Clayey,Maharashtra,Perennial,Banana
20.58,41.64,33.91,34.89,45.43,6.52,474.88,Loamy,Maharashtra,Summer,Muskmelon
98.41,44.79,34.3,25.27,57.59,7.55,679.99,Loamy,Rajasthan,Rabi,Maize
186.29,183.71,335.71,28.07,77.62,6.44,1110.58,Sandy Loam,Gujarat,Perennial,Papaya
121.58,93.67,34.7,20.0,64.77,6.64,750.28,Loamy,Rajasthan,Kharif,Maize
11.94,54.11,16.33,31.26,48.81,5.43,608.49,Black Soil,Madhya Pradesh,Kharif,Blackgram
153.75,188.41,384.29,29.63,71.16,6.3,1716.99,Loamy,Gujarat,Perennial,Papaya
116.26,47.02,188.6,28.59,85.7,5.12,2985.61,Coastal Sandy,Kerala,Perennial,Coconut
109.51,50.84,102.4,17.16,66.21,6.7,1476.52,Loamy,Jammu Kashmir,Perennial,Apple
58.32,22.14,52.32,29.66,47.29,7.31,235.96,Sandy Loam,Maharashtra,Perennial,Pomegranate
23.12,85.87,28.21,27.04,77.38,6.37,689.46,Alluvial,Uttar Pradesh,Kharif,Blackgram
9.97,49.95,26.92,28.44,83.59,6.95,669.84,Black Soil,Maharashtra,Kharif,Blackgram
60.03,46.87,60.36,25.04,86.71,6.11,874.92,Alluvial,Andhra Pradesh,Kharif,Rice
24.66,64.9,21.67,24.53,44.25,7.03,300.94,Loamy,Maharashtra,Rabi,Chickpea
176.58,194.1,527.81,31.83,78.26,6.81,1179.84,Sandy Loam,Maharashtra,Perennial,Papaya
120.66,37.48,63.46,32.84,60.09,7.69,618.07,Black Soil,Gujarat,Kharif,Cotton
26.85,44.13,24.36,30.22,63.34,6.08,717.88,Loamy,Maharashtra,Kharif,Pigeonpeas
189.15,54.99,252.18,30.93,57.77,6.38,2035.8,Loamy,Tamil Nadu,Perennial,Banana
78.81,34.15,26.05,34.23,85.7,6.94,1427.38,Clayey,West Bengal,Kharif,Jute
36.91,76.69,83.73,26.04,65.88,6.16,299.63,Sandy Loam,Karnataka,Perennial,Grapes
126.48,37.25,66.14,22.81,49.84,7.36,480.79,Alluvial,Gujarat,Kharif,Cotton
89.52,54.52,121.82,9.74,45.63,5.93,1402.19,Loamy,Maharashtra,Perennial,Orange
21.81,45.49,31.0,18.28,42.64,5.84,1035.46,Sandy Loam,Jammu Kashmir,Kharif,Kidneybeans
112.01,54.39,40.01,26.34,42.74,6.46,768.79,Alluvial,Madhya Pradesh,Kharif,Maize
101.68,83.69,136.36,26.88,47.24,6.1,600.77,Black Soil,Karnataka,Perennial,Grapes
65.42,22.82,32.43,30.2,78.39,6.0,1124.48,Alluvial,West Bengal,Kharif,Jute
86.72,60.48,133.57,28.38,68.95,5.54,1151.88,Loamy,Punjab,Perennial,Orange
20.98,31.85,24.7,34.21,57.55,6.08,456.61,Loamy,Maharashtra,Summer,Mungbean
163.54,26.47,55.34,25.78,60.06,6.91,951.18,Black Soil,Gujarat,Kharif,Cotton
25.15,35.57,17.34,32.97,38.26,6.4,658.86,Loamy,Tamil Nadu,Kharif,Blackgram
81.25,25.66,51.98,35.67,55.65,5.94,300.68,Sandy Loam,Tamil Nadu,Summer,Watermelon
173.26,42.09,155.87,17.76,58.85,5.46,2080.28,Laterite,Karnataka,Perennial,Coffee
23.91,49.48,24.71,34.23,64.59,7.29,488.93,Black Soil,Maharashtra,Kharif,Blackgram
190.94,43.87,195.69,18.22,58.8,6.22,819.27,Laterite,Tamil Nadu,Perennial,Coffee
29.94,44.68,29.54,34.74,40.58,6.82,788.74,Black Soil,Gujarat,Kharif,Pigeonpeas
181.47,56.42,363.31,31.35,88.96,5.91,1559.08,Clayey,Andhra Pradesh,Perennial,Banana
104.87,38.62,61.31,40.97,60.35,5.52,580.54,Loamy,Andhra Pradesh,Summer,Watermelon
81.98,41.73,47.43,24.12,68.18,6.01,350.84,Loamy,Rajasthan,Summer,Muskmelon
101.54,51.52,41.84,22.51,83.01,6.31,1205.71,Loamy,Andhra Pradesh,Perennial,Mango
134.43,41.89,106.04,18.22,82.37,5.27,1270.59,Laterite,Tamil Nadu,Perennial,Coffee
72.67,33.05,58.01,31.3,64.47,6.63,649.63,Loamy,Punjab,Summer,Muskmelon
17.44,45.49,18.31,20.06,50.6,6.34,242.02,Black Soil,Tamil Nadu,Kharif,Blackgram
61.56,46.2,49.37,25.18,72.38,5.67,1163.11,Alluvial,Punjab,Kharif,Rice
68.44,19.84,63.51,27.81,73.11,7.51,482.87,Alluvial,Rajasthan,Summer,Muskmelon
138.03,37.46,30.62,21.29,65.36,6.86,703.91,Loamy,Bihar,Rabi,Maize
24.02,39.92,19.68,27.4,41.86,5.6,730.7,Black Soil,Madhya Pradesh,Kharif,Pigeonpeas
81.05,39.71,42.69,28.21,58.62,6.41,434.53,Sandy Loam,Rajasthan,Summer,Muskmelon
104.88,20.78,125.99,27.62,49.37,6.59,393.72,Red Soil,Karnataka,Perennial,Grapes
26.63,49.62,24.79,18.06,46.48,6.25,630.92,Sandy Loam,Uttarakhand,Kharif,Kidneybeans
120.62,61.74,33.36,14.65,58.51,5.34,533.69,Sandy Loam,Madhya Pradesh,Rabi,Maize
64.24,39.13,47.98,24.18,93.16,6.39,326.46,Clayey,Tamil Nadu,Kharif,Rice
22.66,36.7,18.33,21.14,43.99,6.64,297.0,Alluvial,Madhya Pradesh,Rabi,Lentil
24.93,54.1,17.37,21.35,58.58,6.39,485.01,Loamy,Madhya Pradesh,Rabi,Lentil
87.31,52.89,96.16,20.29,77.68,5.71,1049.26,Alluvial,Himachal Pradesh,Perennial,Apple
133.47,86.49,27.22,29.13,81.07,6.46,692.41,Loamy,Madhya Pradesh,Rabi,Maize
114.59,36.95,47.08,28.53,56.93,6.4,429.61,Loamy,Andhra Pradesh,Summer,Watermelon
96.5,39.28,209.56,31.18,89.79,6.4,1508.88,Coastal Sandy,Kerala,Perennial,Coconut
88.58,15.98,35.73,30.43,90.69,6.81,1450.6,Alluvial,Bihar,Kharif,Jute
75.26,63.3,68.69,30.82,79.64,6.56,1267.37,Loamy,Maharashtra,Perennial,Mango
12.14,62.12,22.35,21.71,53.27,6.3,748.84,Loamy,Uttarakhand,Kharif,Kidneybeans
22.72,60.87,22.16,29.5,61.65,6.56,435.31,Loamy,Uttar Pradesh,Kharif,Blackgram
52.35,38.25,57.63,35.23,69.8,6.35,367.15,Sandy Loam,Rajasthan,Summer,Muskmelon
13.39,48.28,26.03,24.22,65.9,7.41,357.45,Sandy Loam,Uttar Pradesh,Rabi,Lentil
47.67,38.33,52.36,28.43,60.07,8.46,900.73,Black Soil,Maharashtra,Kharif,Cotton
97.61,59.14,113.43,34.69,60.14,5.77,1070.07,Loamy,Maharashtra,Perennial,Mango
62.69,50.29,39.45,26.68,73.75,6.16,1315.35,Alluvial,West Bengal,Kharif,Jute
96.25,64.36,196.89,29.66,84.33,5.97,1228.2,Laterite,Karnataka,Perennial,Coconut
120.42,45.35,39.92,24.07,80.66,6.0,407.83,Loamy,Karnataka,Rabi,Maize
58.22,31.37,49.34,28.34,58.53,7.32,109.48,Red Soil,Gujarat,Perennial,Pomegranate
27.73,37.89,42.5,17.06,52.6,6.12,434.14,Sandy Loam,Uttarakhand,Kharif,Kidneybeans
173.55,38.55,233.56,29.36,72.15,6.26,1852.63,Clayey,Tamil Nadu,Perennial,Banana
86.09,41.95,67.4,27.46,43.88,5.35,429.16,Sandy Loam,Maharashtra,Summer,Muskmelon
94.52,40.82,11.62,32.1,87.27,5.87,1368.23,Loamy,Punjab,Kharif,Rice
18.54,32.08,26.79,23.25,69.47,6.09,790.26,Loamy,Tamil Nadu,Kharif,Blackgram
20.16,41.97,32.84,19.34,48.53,6.15,484.61,Alluvial,West Bengal,Rabi,Lentil
77.08,33.49,145.74,30.96,38.22,6.15,469.12,Sandy Loam,Tamil Nadu,Perennial,Grapes
85.16,47.03,43.82,29.33,42.96,6.97,568.45,Loamy,Maharashtra,Summer,Muskmelon
64.4,17.39,96.86,35.39,53.56,6.43,473.26,Sandy Loam,Karnataka,Summer,Watermelon
62.53,39.35,31.64,32.92,66.86,7.52,1686.3,Alluvial,Odisha,Kharif,Jute
177.69,135.36,254.89,26.3,81.42,6.36,1641.88,Sandy Loam,Andhra Pradesh,Perennial,Papaya
143.43,222.56,154.13,30.72,74.45,5.74,1305.26,Sandy Loam,Gujarat,Perennial,Papaya
146.0,38.13,36.47,35.74,78.42,6.48,558.86,Red Soil,Andhra Pradesh,Kharif,Cotton
96.52,26.16,126.22,19.85,85.65,5.83,1590.45,Sandy Loam,Punjab,Perennial,Orange
63.42,28.21,34.84,25.72,39.61,7.27,826.48,Black Soil,Gujarat,Perennial,Pomegranate
94.65,69.55,75.67,25.17,63.74,4.98,1411.42,Sandy Loam,Maharashtra,Perennial,Orange
65.8,43.55,42.34,29.79,61.52,7.26,276.39,Black Soil,Karnataka,Perennial,Pomegranate
130.94,57.44,145.51,20.46,88.63,4.88,1857.51,Loamy,Kerala,Perennial,Coffee
17.72,44.3,31.59,18.96,51.49,7.23,336.74,Black Soil,Karnataka,Rabi,Chickpea
77.47,39.27,37.82,28.38,41.53,6.45,464.14,Alluvial,Maharashtra,Summer,Muskmelon
27.14,59.96,25.32,19.61,53.53,5.79,671.22,Loamy,Jammu Kashmir,Kharif,Kidneybeans
75.7,55.47,154.06,30.29,79.14,6.54,1336.88,Loamy,Maharashtra,Perennial,Orange
134.43,73.08,51.39,19.46,71.62,6.98,351.93,Loamy,Karnataka,Rabi,Maize
94.54,48.14,49.42,29.68,65.96,6.36,618.09,Black Soil,Maharashtra,Kharif,Cotton
19.96,83.53,32.7,25.49,49.52,7.25,672.25,Black Soil,Tamil Nadu,Kharif,Blackgram
117.38,52.68,211.28,24.24,95.54,5.57,2596.15,Coastal Sandy,Karnataka,Perennial,Coconut
123.82,48.22,98.88,28.37,68.47,6.15,1485.11,Alluvial,Rajasthan,Perennial,Orange
35.57,28.12,16.69,32.84,82.3,6.67,1873.75,Alluvial,Odisha,Kharif,Jute
81.58,33.69,31.25,22.94,96.28,6.72,1127.79,Loamy,Assam,Kharif,Jute
11.71,52.59,28.76,18.01,26.26,6.34,527.63,Loamy,Madhya Pradesh,Rabi,Chickpea
97.8,64.27,61.34,23.34,67.07,6.18,761.44,Black Soil,Gujarat,Kharif,Cotton
76.66,64.9,108.73,15.51,33.07,7.19,422.97,Red Soil,Tamil Nadu,Perennial,Grapes
140.76,90.03,140.79,24.74,44.82,6.45,600.33,Red Soil,Andhra Pradesh,Perennial,Grapes
144.94,54.15,295.49,30.44,76.93,6.47,1932.39,Alluvial,Maharashtra,Perennial,Banana
24.25,54.95,32.53,20.32,43.66,5.87,603.58,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
81.53,31.62,220.01,26.8,74.5,6.12,1517.96,Coastal Sandy,Karnataka,Perennial,Coconut
50.61,5.09,30.91,25.29,69.39,6.22,2043.33,Clayey,West Bengal,Kharif,Jute
62.4,60.33,59.38,25.88,50.12,6.34,396.91,Sandy Loam,Maharashtra,Summer,Muskmelon
93.41,62.56,112.85,24.06,65.9,6.1,1700.39,Loamy,Punjab,Perennial,Orange
67.4,24.03,51.11,28.5,40.33,7.32,138.72,Sandy Loam,Andhra Pradesh,Perennial,Pomegranate
213.92,178.27,529.15,30.88,93.49,6.47,1578.93,Sandy Loam,Karnataka,Perennial,Papaya
144.66,62.21,53.7,25.99,51.96,5.7,546.46,Loamy,Madhya Pradesh,Kharif,Maize
63.19,20.4,68.83,27.45,58.96,5.89,260.93,Sandy Loam,Rajasthan,Summer,Muskmelon
101.96,77.18,50.13,25.71,68.42,7.49,857.57,Loamy,Karnataka,Kharif,Maize
146.35,48.71,191.36,24.2,58.64,5.55,2099.34,Laterite,Karnataka,Perennial,Coffee
23.3,64.89,15.35,21.36,42.86,5.93,352.87,Black Soil,Rajasthan,Rabi,Chickpea
85.74,49.81,69.71,33.07,64.78,6.13,308.27,Loamy,Tamil Nadu,Summer,Watermelon
18.63,50.02,20.33,28.33,75.77,6.24,177.84,Loamy,Andhra Pradesh,Kharif,Mungbean
121.88,34.92,56.14,21.91,38.19,7.44,424.18,Red Soil,Telangana,Kharif,Cotton
160.9,60.94,35.78,30.61,66.08,6.51,496.02,Sandy Loam,Bihar,Rabi,Maize
130.66,43.38,126.63,30.43,54.91,5.43,1086.08,Loamy,Uttar Pradesh,Perennial,Mango
131.79,35.69,49.39,21.82,82.15,6.49,1382.94,Clayey,Punjab,Kharif,Rice
21.66,42.83,14.42,19.13,54.94,5.37,667.94,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
24.41,28.15,24.07,24.46,51.34,7.02,495.6,Red Soil,Madhya Pradesh,Kharif,Pigeonpeas
77.98,53.2,281.26,31.43,78.56,5.94,2937.23,Loamy,Karnataka,Perennial,Coconut
10.25,34.46,23.76,25.1,70.46,6.04,579.19,Sandy Loam,Rajasthan,Summer,Mungbean
259.67,67.66,253.58,25.65,71.4,6.9,1314.68,Loamy,Tamil Nadu,Perennial,Banana
15.07,73.34,30.84,21.34,53.83,6.58,551.18,Alluvial,Uttarakhand,Kharif,Kidneybeans
16.61,19.15,11.4,39.29,75.58,6.13,497.61,Loamy,Karnataka,Kharif,Mungbean
52.6,43.18,59.48,17.78,58.04,5.68,1091.84,Mountain Soil,Himachal Pradesh,Perennial,Apple
87.67,33.36,33.34,30.11,70.39,7.69,549.05,Red Soil,Maharashtra,Kharif,Cotton
62.33,27.36,39.82,29.46,81.99,6.62,1636.15,Alluvial,West Bengal,Kharif,Jute
113.84,49.58,113.45,23.05,58.22,5.61,710.04,Laterite,Uttar Pradesh,Perennial,Mango
128.76,47.72,115.12,26.75,52.48,6.56,1311.0,Loamy,Madhya Pradesh,Perennial,Orange
16.16,43.49,26.14,26.69,73.59,6.13,524.77,Black Soil,Uttar Pradesh,Kharif,Blackgram
